time_stamp,open,high,low,close,volume,SMA50,SMA100,SMA200,EMA50,EMA100,EMA200,WMA50,WMA100,WMA200,DEMA50,DEMA100,DEMA200,TEMA50,TEMA100,MACD,MACD_HIST,MACD_SIGN,B2B20SMARLB,B2B20SMARMB,B2B20SMARUB,B2B20EMARLB,B2B20EMARMB,B2B20EMARUB,B2B20WMARLB,B2B20WMARMB,B2B20WMARUB,B2B20DEMARLB,B2B20DEMARMB,B2B20DEMARUB,B2B20TEMARLB,B2B20TEMARMB,B2B20TEMARUB,B2B20T3RLB,B2B20T3RMB,B2B20T3RUB,B2B20TRIMARLB,B2B20TRIMARMB,B2B20TRIMARUB,B2B20KAMARLB,B2B20KAMARMB,B2B20KAMARUB,B2B20MAMARLB,B2B20MAMARMB,B2B20MAMARUB,momentum50,momentum100,momentum200,RSI7,RSI14,RSI21,MFI7,MFI14,MFI21,closeChg,closePctChg,Change
7/30/2019 13:34,1896.87,1896.99,1896.8199,1896.8199,2647,1895.8311,1896.0446,1896.7605,1896.4194,1896.4782,1897.68,1896.4384,1896.2523,1896.2118,1896.7058,1895.7611,1895.1751,1895.7886,1894.2548,0.0547,-0.1566,0.2113,1895.7217,1897.1634,1898.605,1895.2739,1896.7155,1898.1571,1895.4413,1896.8829,1898.3245,1895.4299,1896.8716,1898.3132,1895.1781,1896.6197,1898.0614,1895.4197,1896.8613,1898.3029,1895.8212,1897.2629,1898.7045,1894.8772,1896.3188,1897.7604,1895.7435,1897.1852,1898.6268,2.1699,1.99,-8.5801,52.9629,52.0857,52.218,56.7734,32.2043,44.9662,0.0275,0.001449774,1
7/30/2019 13:35,1896.99,1897.09,1896.99,1897.0188,4328,1895.858,1896.0739,1896.7234,1896.4429,1896.4889,1897.6734,1896.4849,1896.2715,1896.2143,1896.7407,1895.7965,1895.1869,1895.8153,1894.2593,0.0756,-0.1085,0.1841,1895.7069,1897.1476,1898.5883,1895.3037,1896.7444,1898.1851,1895.4284,1896.8691,1898.3098,1895.471,1896.9117,1898.3524,1895.2534,1896.6941,1898.1348,1895.4221,1896.8628,1898.3034,1895.7162,1897.1569,1898.5976,1894.9131,1896.3538,1897.7945,1895.7692,1897.2099,1898.6506,1.3475,2.9288,-7.4211,57.826,54.1762,53.4443,73.9564,40.7597,47.2472,-0.1989,-0.010485972,1
7/30/2019 13:36,1896.98,1897.34,1896.98,1897.34,4174,1895.8906,1896.1112,1896.6922,1896.4781,1896.5057,1897.6701,1896.543,1896.2966,1896.2205,1896.798,1895.8436,1895.205,1895.843,1894.2645,0.1168,-0.0538,0.1707,1895.7067,1897.1321,1898.5574,1895.3758,1896.8011,1898.2264,1895.4621,1896.8874,1898.3128,1895.5785,1897.0038,1898.4291,1895.4136,1896.8389,1898.2642,1895.4417,1896.867,1898.2924,1895.6253,1897.0506,1898.4759,1894.9778,1896.4031,1897.8284,1895.8021,1897.2274,1898.6527,1.63,3.73,-6.2366,64.7024,57.4084,55.386,82.2778,49.6273,47.6127,-0.3212,-0.01693183,1
7/30/2019 13:37,1897.15,1897.52,1897.15,1897.52,598,1895.9446,1896.1434,1896.6613,1896.5189,1896.5258,1897.6686,1896.6069,1896.3245,1896.2287,1896.8655,1895.8965,1895.2266,1895.8715,1894.2706,0.1621,-0.0068,0.169,1895.7388,1897.1666,1898.5944,1895.4418,1896.8696,1898.2974,1895.4966,1896.9244,1898.3522,1895.6871,1897.1149,1898.5427,1895.5765,1897.0043,1898.4321,1895.452,1896.8798,1898.3076,1895.5255,1896.9533,1898.3811,1895.0312,1896.459,1897.8868,1895.8134,1897.2412,1898.669,2.7001,3.215,-6.1799,68.1039,59.1481,56.4551,81.8815,54.7343,45.8738,-0.18,-0.009486966,1
7/30/2019 13:38,1897.6,1898.21,1897.6,1897.97,5890,1896.0084,1896.1857,1896.6526,1896.5758,1896.5544,1897.6716,1896.6864,1896.3607,1896.2417,1896.9635,1895.9656,1895.2568,1895.9012,1894.2775,0.2317,0.0502,0.1815,1895.7407,1897.1651,1898.5894,1895.55,1896.9744,1898.3987,1895.5766,1897.0009,1898.4253,1895.8668,1897.2912,1898.7155,1895.8314,1897.2557,1898.6801,1895.4605,1896.8849,1898.3092,1895.4452,1896.8696,1898.2939,1895.7901,1897.2145,1898.6388,1895.8311,1897.2555,1898.6798,3.1888,4.2277,-1.7438,75.0997,63.194,59.0311,100,61.8586,55.2153,-0.45,-0.023715165,1
7/30/2019 13:39,1897.8442,1897.8442,1897.8442,1897.8442,687,1896.0729,1896.2276,1896.6341,1896.6256,1896.5799,1897.6733,1896.7584,1896.3935,1896.2536,1897.0458,1896.0278,1895.2843,1895.9321,1894.2853,0.2735,0.0736,0.1999,1895.7549,1897.1538,1898.5526,1895.6584,1897.0572,1898.4561,1895.6667,1897.0656,1898.4644,1896.02,1897.4188,1898.8177,1896.0284,1897.4273,1898.8261,1895.4943,1896.8931,1898.292,1895.4166,1896.8155,1898.2143,1895.8471,1897.246,1898.6448,1895.8734,1897.2723,1898.6711,3.2242,4.1942,-3.7028,70.0881,61.3651,58.024,96.9701,64.6736,50.6688,0.1258,0.006628134,1
7/30/2019 13:40,1897.9218,1898.1226,1897.9218,1898.0574,1784,1896.1458,1896.2806,1896.6132,1896.6817,1896.6092,1897.6772,1896.8362,1896.4298,1896.2678,1897.1395,1896.0967,1895.3157,1895.9643,1894.2939,0.3201,0.0962,0.224,1895.763,1897.1492,1898.5353,1895.7663,1897.1525,1898.5386,1895.7655,1897.1516,1898.5378,1896.1796,1897.5658,1898.952,1896.2341,1897.6203,1899.0064,1895.5136,1896.8998,1898.286,1895.4109,1896.7971,1898.1833,1895.9004,1897.2865,1898.6727,1895.9074,1897.2936,1898.6798,3.6473,5.2974,-4.1826,73.5755,63.3039,59.2611,96.5827,69.7391,51.1773,-0.2132,-0.011233799,1
7/30/2019 13:41,1897.723,1898.0601,1897.723,1898.0601,1108,1896.1982,1896.3402,1896.5927,1896.7358,1896.6379,1897.681,1896.9113,1896.465,1896.2822,1897.2275,1896.1637,1895.3467,1895.9979,1894.3034,0.3533,0.1034,0.2498,1895.7577,1897.1527,1898.5476,1895.8439,1897.2389,1898.6339,1895.8434,1897.2384,1898.6334,1896.2961,1897.6911,1899.0861,1896.3805,1897.7755,1899.1705,1895.511,1896.906,1898.301,1895.4223,1896.8173,1898.2123,1895.9302,1897.3252,1898.7202,1895.9255,1897.3204,1898.7154,2.6201,5.9601,-4.09,73.6207,63.3288,59.277,90.3315,72.8363,52.1101,-0.0027,-0.000142251,1
7/30/2019 13:42,1898.1783,1898.37,1897.9048,1897.9048,1905,1896.2701,1896.3847,1896.5652,1896.7816,1896.663,1897.6832,1896.9782,1896.496,1896.2952,1897.2981,1896.2228,1895.3744,1896.033,1894.3137,0.3628,0.0904,0.2724,1895.7628,1897.1486,1898.5345,1895.9165,1897.3023,1898.6881,1895.9242,1897.31,1898.6959,1896.383,1897.7688,1899.1546,1896.4723,1897.8581,1899.244,1895.5257,1896.9115,1898.2973,1895.4863,1896.8721,1898.2579,1895.9713,1897.3571,1898.7429,1895.9667,1897.3525,1898.7383,3.5947,4.4548,-5.5002,66.0032,60.7546,57.9067,88.8818,80.3792,54.9051,0.1553,0.008182038,1
7/30/2019 13:43,1897.9,1898.762,1897.9,1898.62,2988,1896.3699,1896.4379,1896.5377,1896.8537,1896.7018,1897.6925,1897.0703,1896.5402,1896.3157,1897.4192,1896.3082,1895.4159,1896.0696,1894.325,0.4232,0.1206,0.3026,1895.6823,1897.2002,1898.7182,1895.9099,1897.4278,1898.9458,1895.9322,1897.4502,1898.9681,1896.4455,1897.9634,1899.4814,1896.5888,1898.1068,1899.6247,1895.45,1896.9679,1898.4859,1895.4411,1896.959,1898.477,1896.4706,1897.9885,1899.5065,1895.8738,1897.3918,1898.9097,4.9861,5.3199,-5.51,78.1515,67.34,62.1395,88.0021,84.4601,60.0246,-0.7152,-0.03768366,1
